udp_dstport	count
0	91502254
5060	894284
123	333150
53	312160
1900	295558
500	294388
161	189876
1434	143048
5353	137244
11211	119362
137	111062
6881	101740
6500	98982
5683	91626
1194	87586
389	83566
1027	81390
8000	79742
3702	77108
8080	76748
30301	75732
