tcp_srcport	count
0	9448874
51382	4879566
61001	818950
60000	777948
50951	754218
45311	750990
58914	438426
26200	424252
32768	301116
1024	272370
43488	254086
25565	251968
61000	215128
32788	193876
19000	181536
53048	152996
50924	134716
56486	133656
54496	133654
59129	131738
44496	131708
