tcp_flags	count
0x0002	87990268
	9445430
0x0012	754572
0x0010	164692
0x00c2	137594
0x0000	105668
0x0018	42330
0x0004	34970
0x0482	28768
0x0014	17136
0x001a	2610
0x003f	1942
0x0019	856
0x0092	404
0x0022	400
0x081b	296
0x0011	168
0x0f02	134
0x0812	110
0x0112	96
0x0612	84
