udp_srcport	count
0	91502238
500	223626
5060	74470
58914	74328
5149	68090
5101	57858
50924	52370
54496	52362
56486	52360
40243	52318
59129	52312
44496	52308
8000	40528
8081	37026
5353	36188
5108	35214
1434	34328
8083	31792
6881	30242
1900	29636
4000	29202
