protocol	count
TCP	89020290
UDP	2846842
ICMP	2228450
SIP	1408646
DNS	345470
NTP	333312
ISAKMP	276864
HTTP	258846
SSDP	227618
SNMP	192092
MDNS	162036
MEMCACHE	120986
Portmap	112564
NBNS	111060
CoAP	91176
OpenVPN	87578
CLDAP	83562
STUN	66872
BACnet-APDU	66290
SRVLOC	65494
Chargen	65006
