tcp_srcport	count
0	6159798
50289	2727206
52838	695388
58914	480578
44990	441148
47811	406114
57825	404436
57809	403034
54228	376318
51937	287374
55020	266588
58195	266572
51852	264398
46164	258942
60000	255936
55250	255882
55234	255180
49599	233064
49615	231922
48416	229808
48432	228528
