"ip_dst	count"
".1	980366"
".113	326192"
".98	305928"
".25	297628"
".14	294912"
".34	294430"
".78	294282"
".147	292302"
".248	290508"
".61	290504"
".2	289670"
".140	289210"
".151	289090"
".96	288830"
".222	288348"
".133	287452"
".213	287118"
".24	286064"
".55	285948"
".69	285900"
".19	285358"
