protocol	count
TCP	65950392
UDP	2588924
ICMP	1408826
DNS	241540
NTP	199844
SIP	191532
MDNS	177784
HTTP	153816
MEMCACHE	133378
SNMP	114084
ISAKMP	100630
CoAP	82518
SSDP	76100
Portmap	66144
OpenVPN	63276
NBNS	59622
NAT-PMP	49924
TFTP	47486
CLDAP	46522
SRVLOC	45218
BACnet-APDU	41680
