udp_srcport	count
0	67512988
1434	80336
30301	69878
5060	63700
51185	57462
52584	57450
54991	57412
42998	57404
58975	57394
500	53446
8000	53324
8081	51214
6881	43390
4000	43116
5353	40878
8083	39782
8080	38124
8082	36686
1027	27838
11211	26464
58914	25730
