tcp_dstport	count
0	6159552
23	5939006
22	1066698
80	821180
3389	710546
8080	693536
443	563248
445	520486
2375	474050
5555	351390
1433	349310
2222	295844
81	254356
3128	246960
2323	225066
8443	221676
8088	215564
5432	212800
27017	212548
8081	195108
3306	186624
