udp_dstport	count
0	67514048
5060	265736
53	224118
123	199758
1900	168808
5353	146494
1434	145644
6881	127286
11211	117640
161	113872
500	106104
8082	106046
8083	105504
8081	105468
1027	105404
30301	104962
4000	104450
8000	103992
8080	103278
5683	82748
1194	63302
