src_country	count
United States	26355546
Germany	6415908
The Netherlands	5693528
China	5596220
United Kingdom	5376444
Russia	3537232
South Africa	3232420
India	2751074
Bulgaria	1853556
South Korea	1437148
Lithuania	1029152
France	866690
Vietnam	802744
Hong Kong	538452
Poland	465108
Singapore	458676
Japan	416876
Philippines	395064
Switzerland	381140
Brazil	354084
Taiwan	337020
