tcp_flags	count
0x0002	96109566
	9405628
0x0012	726144
0x0010	236806
0x00c2	90722
0x0004	85048
0x0018	78858
0x0014	33544
0x0482	28020
0x001a	15382
0x0011	3880
0x0000	1962
0x0092	1760
0x0022	1564
0x0006	1030
0x0019	902
0x00d2	354
0x081b	290
0x0008	258
0x0812	238
0x0f12	192
