tcp_dstport	count
23	13676192
0	9408916
80	1888496
22	1845368
445	1014970
3389	815374
443	790940
8080	692386
60023	680442
5555	644644
1433	622674
81	526110
2375	495046
2376	366588
8081	317782
8443	305836
8888	276260
2222	270074
34567	263442
2323	261494
6001	256506
