udp_srcport	count
0	99803370
36041	84266
5060	68252
61000	64576
54418	52358
58280	52326
50530	52322
44805	52306
48373	52302
44928	52296
11018	51218
1434	48406
8000	42222
30301	39480
4000	33012
5064	32668
8081	31780
8083	31660
1027	30676
6881	28266
8080	26734
