udp_dstport	count
0	99803386
5060	1016518
53	392516
123	377664
1900	230474
161	171154
5353	136520
1434	136092
11211	121790
27015	115328
137	105992
5683	100772
6881	95246
1194	87064
2085	84192
6500	82898
389	79852
500	76832
1027	76356
8000	75152
4000	73336
