"ip_dst	count"
".1	1878268"
".112	546494"
".124	541620"
".189	499728"
".68	474170"
".18	464634"
".152	431638"
".108	429782"
".176	427872"
".20	427128"
".174	425434"
".134	424318"
".58	423992"
".123	422496"
".138	421502"
".236	421464"
".226	420790"
".193	420788"
".200	420566"
".103	420330"
".52	419980"
