src_country	count
United States	33740106
The Netherlands	15278304
China	12152856
South Africa	11965656
Germany	6588634
Russia	5542536
United Kingdom	4301810
South Korea	1581412
India	1549938
Bulgaria	1410454
Vietnam	1399006
France	1143992
Taiwan	906586
Canada	855024
Singapore	742266
Switzerland	586844
Hong Kong	533830
Brazil	443908
Indonesia	381908
Japan	330660
Poland	309056
