protocol	count
TCP	97097982
UDP	2904098
ICMP	2332326
SIP	1393768
DNS	409004
NTP	379898
HTTP	313028
SNMP	169976
SSDP	164534
MDNS	145116
MEMCACHE	125624
NBNS	105986
Portmap	104778
CoAP	100682
OpenVPN	87068
CLDAP	79850
BACnet-APDU	65152
STUN	60344
ISAKMP	59278
NAT-PMP	56326
SIP/SDP	55688
