src_country	count
Russia	351373
China	132942
United States	105927
Kazakhstan	75992
Belarus	23435
Singapore	21762
United Kingdom	19096
Ukraine	17520
The Netherlands	12061
Israel	11859
Germany	10755
Japan	10667
Canada	10611
France	9760
India	9021
Vietnam	9009
South Africa	8794
Moldova	7442
Kyrgyzstan	7279
Brazil	7035
