ip_src	count
151.236.79.4	8567
151.236.92.3	8509
151.236.127.2	8250
62.152.61.227	8148
151.236.106.4	8110
93.92.69.34	8044
151.236.89.13	8042
31.200.250.4	8005
185.230.245.34	7988
151.236.64.24	7979
193.33.133.130	7979
91.231.239.2	7963
151.236.101.19	7947
91.231.237.5	7946
88.210.36.123	7936
185.31.114.25	7934
151.236.115.20	7926
5.188.152.194	7921
185.141.224.6	7910
151.236.110.2	7907
