protocol	count
TCP	116800908
UDP	2678118
ICMP	2431814
SIP	1482166
DNS	516184
NTP	436586
HTTP	327700
SNMP	193604
SSDP	138676
MDNS	138068
MEMCACHE	123578
CLDAP	104278
Portmap	103604
CoAP	101294
NBNS	98708
OpenVPN	77780
STUN	69970
SIP/SDP	63964
Chargen	61454
BACnet-APDU	60846
ISAKMP	58020
