udp_dstport	count
0	119565974
5060	979816
53	514754
123	435012
1900	199324
161	197468
27015	139200
1434	129530
11211	125030
5353	122842
389	104290
5683	101354
9034	98748
137	98710
6881	95114
500	79388
1194	77778
37810	73646
3283	73486
19	70142
1027	69144
