"ip_dst	count"
".1	2056536"
".57	558762"
".8	532826"
".81	507416"
".84	507110"
".49	505480"
".20	505334"
".111	503174"
".235	503154"
".150	502568"
".187	499772"
".79	499596"
".90	497532"
".48	497448"
".56	496782"
".172	496242"
".244	496190"
".229	496024"
".200	495952"
".115	495348"
".157	495318"
