tcp_dstport	count
23	10879844
0	9518284
80	1961182
22	1771294
445	1041004
3389	908588
443	855744
5555	796382
8080	789922
1433	669088
2375	544132
60023	492384
81	466144
34567	422518
2376	420988
8443	342490
8081	340848
6001	309508
2222	285308
8888	273050
5060	255896
