ip_src	count
80.82.70.217	28679648
116.202.47.8	2316598
79.124.56.118	1142690
144.217.58.56	1047342
89.248.163.201	1024386
89.248.163.189	874316
104.156.155.13	751104
46.17.96.38	750906
104.156.155.5	750056
104.156.155.3	749884
141.105.67.7	749626
91.218.115.144	749212
89.248.163.233	745984
146.88.240.4	646320
113.4.132.108	566834
183.136.225.5	543890
185.224.128.17	502536
185.156.73.91	441126
94.102.61.28	426106
80.66.77.236	411336
45.143.200.106	399816
