tcp_flags	count
0x0002	115580416
	9507506
0x0012	1095030
0x0010	184524
0x0004	69172
0x00c2	68966
0x0014	62378
0x0018	28786
0x0482	14604
0x001a	10788
0x0011	5384
0x0000	4272
0x0092	4030
0x089e	2080
0x08a2	1800
0x0022	1174
0x089f	1040
0x0019	1018
0x003f	852
0x0052	312
0x0872	302
