udp_srcport	count
0	119565628
5060	67788
8000	53926
46183	52326
43093	52326
50161	52324
46394	52314
40688	52308
8081	39874
1434	39146
4000	35994
30301	35504
1027	35206
5071	32190
6881	30356
8083	28374
4040	26564
8080	26408
5114	26194
5244	25638
5353	23822
