protocol	count
TCP	104163504
UDP	4254736
ICMP	2242574
SIP	1191866
DNS	510572
NTP	353822
HTTP	265026
MDNS	237554
MEMCACHE	201324
ISAKMP	182190
SNMP	179332
SSDP	179278
NBNS	114160
CLDAP	101660
OpenVPN	89106
Portmap	83750
CoAP	81954
SRVLOC	78498
NAT-PMP	69602
TFTP	61426
Chargen	59120
