tcp_dstport	count
23	11701706
0	10868684
80	1582984
22	1397100
8080	1136340
3389	1092740
443	1077138
445	819538
1433	599056
8088	478482
2222	448698
5555	442976
8728	408822
2375	388714
3128	371836
81	363102
8443	356434
8888	334198
8081	323494
999	307664
2323	289226
