udp_srcport	count
0	106667906
500	114928
4000	107460
8000	103422
30301	96236
8080	83260
1434	81998
5060	74128
8083	69094
8081	64702
1900	62002
6881	61184
55552	57518
49219	57504
51306	57468
56639	57462
58934	57450
45932	57446
5353	47660
8082	42628
1027	42494
