udp_dstport	count
0	106668072
5060	971988
53	474694
123	352140
1900	313006
27483	267990
5353	204710
1434	201530
500	190798
11211	187284
161	179818
6881	164920
8080	143206
8000	142622
8081	141290
8082	140686
4000	140026
30301	139988
1027	139860
6500	139764
8083	139502
