tcp_srcport	count
0	10867670
58914	1896440
46031	752628
43051	752560
41234	751158
52153	747772
53359	516508
57408	514052
58084	505610
80	388702
50791	287760
60000	283838
1024	271656
45432	229220
54444	199062
25565	184730
29011	175802
443	166716
56065	164410
61000	159502
41620	156628
