ip_src	count
151.236.79.4	9332
151.236.92.3	9190
151.236.127.2	8962
62.152.61.227	8785
91.231.239.2	8762
93.92.69.34	8721
151.236.89.13	8698
151.236.64.24	8660
185.230.245.34	8655
91.231.237.5	8635
185.31.114.25	8621
151.236.115.20	8616
31.200.250.4	8604
151.236.106.4	8597
151.236.101.19	8595
193.33.133.130	8589
88.210.36.123	8586
38.99.247.130	8572
86.57.224.52	8550
151.236.110.2	8541
