src_country	count
Russia	380369
China	139846
United States	108233
Kazakhstan	80769
Belarus	25165
Singapore	20411
Ukraine	19005
United Kingdom	16040
Israel	12719
The Netherlands	12140
Japan	11211
France	10989
South Africa	9873
Canada	9752
Vietnam	9365
India	9294
Kyrgyzstan	8971
Germany	8570
Moldova	8046
Azerbaijan	7340
