src_country	count
Russia	421716
United States	105232
China	100391
Kazakhstan	93294
Belarus	24203
Singapore	15119
United Kingdom	14305
Israel	12600
Ukraine	11975
South Africa	11481
Germany	10964
France	10818
Japan	10159
Canada	9582
Uzbekistan	8283
Kyrgyzstan	8014
India	7929
Moldova	7714
Ecuador	7563
The Netherlands	7216
