ip_src	count
47.246.68.13	18887
151.236.92.3	9784
151.236.127.2	9379
93.92.69.34	9304
62.152.61.227	9214
151.236.89.13	9214
91.231.239.2	9148
89.218.82.128	9128
178.89.107.66	9122
31.200.250.4	9098
91.231.237.5	9089
5.188.152.194	9083
193.33.133.130	9083
151.236.64.24	9081
151.236.79.4	9065
185.230.245.34	9064
88.210.36.123	9056
151.236.110.2	9032
151.236.106.4	9017
38.99.247.130	8956
