src_country	count
Russia	439754
United States	137222
China	129404
Kazakhstan	103304
Belarus	26595
Singapore	20140
Ukraine	19527
United Kingdom	15248
Israel	13391
Canada	11032
Japan	10465
France	10442
Germany	10369
India	10012
South Africa	9806
Vietnam	9416
The Netherlands	9356
Moldova	8548
Kyrgyzstan	8331
Azerbaijan	7826
