udp_srcport	count
0	123527226
40999	173716
500	155004
53791	52350
40825	52308
58968	52292
57777	52292
48584	52278
5108	49432
6350	43536
58914	40696
5060	39512
50999	38468
5085	35972
5353	35910
4000	31016
5091	29790
8000	29086
1900	28978
1434	28974
8081	27514
