protocol	count
TCP	121374984
UDP	2706390
ICMP	2126910
SIP	1817462
DNS	393522
NTP	274802
ISAKMP	205782
SNMP	170410
SSDP	169720
MDNS	133512
MEMCACHE	93402
NBNS	80952
OpenVPN	80072
CoAP	65582
CLDAP	63588
NAT-PMP	59188
Portmap	55082
SRVLOC	54306
BACnet-APDU	50032
Chargen	44402
TFTP	40466
