tcp_flags	count
0x0002	120174860
	9093772
0x0012	761882
0x0004	149076
0x00c2	135790
0x0010	62832
0x0018	38752
0x0014	25130
0x0000	19064
0x0022	17426
0x0482	16944
0x003f	3740
0x001a	2586
0x0019	670
0x00d2	430
0x0092	358
0x081b	254
0x0011	248
0x0052	244
0x0212	236
0x0f02	200
