udp_dstport	count
0	123527168
5060	935362
53	362880
123	273646
1900	220954
500	213796
161	173848
1434	120890
5353	108680
11211	93758
137	80956
6500	80870
1194	80066
6881	79074
5683	65590
8080	64154
389	63586
1027	62904
8000	62718
8081	61888
5632	61514
