tcp_srcport	count
0	8897620
58914	1592120
50897	697552
43184	694514
50040	675106
1024	470922
60000	377514
40491	311632
443	288782
44990	245594
45432	223498
25565	176438
59342	167672
61000	152698
53841	150782
47955	149158
59082	148638
60077	134868
80	132194
46877	132084
42567	131784
