udp_dstport	count
0	90037100
4140	488752
5060	411190
53	331450
123	290534
1900	225242
5353	203562
1434	197406
6881	176388
11211	161170
8000	149104
8080	148340
4000	148332
8081	148056
8083	147968
8082	147422
161	147328
30301	147208
1027	145456
500	134300
5683	85960
