"ip_dst	count"
".1	1359226"
".113	895716"
".25	393972"
".147	393060"
".120	386008"
".149	385470"
".0	385124"
".248	384542"
".121	382756"
".180	381326"
".226	380416"
".56	380388"
".89	380004"
".73	379922"
".167	379868"
".83	379776"
".136	379716"
".236	379574"
".220	379538"
".178	378948"
".239	378876"
