src_country	count
United States	35794560
Germany	10820592
The Netherlands	9730518
China	9360296
United Kingdom	7061570
Russia	3588294
South Korea	2293722
France	1661218
Hong Kong	1651808
India	1622084
Bulgaria	1332864
Vietnam	803964
South Africa	787876
Singapore	720654
Japan	648592
Brazil	628718
Switzerland	578172
Taiwan	524056
Philippines	504196
Lithuania	491696
Poland	445254
