udp_srcport	count
0	90035806
30301	130598
1434	122754
8000	101530
8080	101104
8083	82400
5060	68426
1027	67106
6881	65966
4000	63202
30967	62438
500	59602
42567	57424
40158	57422
46877	57410
40605	57410
5353	50598
1900	49860
11211	49744
8081	46738
58914	41058
