protocol	count
TCP	87805744
UDP	3953570
ICMP	2002168
DNS	363896
SIP	300702
NTP	290754
MDNS	239760
HTTP	223560
MEMCACHE	192938
SNMP	144370
ISAKMP	127488
SSDP	92122
CoAP	85398
OpenVPN	82568
Portmap	82388
NBNS	79790
NAT-PMP	65768
TFTP	62706
SRVLOC	60256
CLDAP	59624
BACnet-APDU	54062
