tcp_dstport	count
23	10401122
0	10366154
80	1439940
22	1311984
8080	1162430
3389	1053728
443	999654
445	874720
1433	641080
5555	601442
81	505122
8291	452564
3128	442448
2222	425804
2375	420922
8081	412966
8443	380734
8088	352314
2323	330042
8888	304018
2376	302836
