tcp_srcport	count
58870	22043034
0	10365498
40474	2562616
58914	1300184
45845	1023650
45777	1019760
51074	1015046
51549	754554
52022	754328
48615	752416
57205	745098
47230	731438
47223	513628
60000	485964
80	335672
26200	282244
25565	248510
1024	246202
51316	168732
443	155718
59951	147482
