tcp_flags	count
0x0002	123718116
	10363986
0x0012	1177922
0x0010	235802
0x00c2	144804
0x0004	85752
0x0018	44194
0x0014	27472
0x0482	20888
0x0000	11182
0x001a	7192
0x003f	5838
0x0022	5616
0x0052	668
0x0019	580
0x0092	370
0x0011	314
0x081b	308
0x0f12	208
0x0812	166
0x0612	142
