udp_dstport	count
0	127743174
5060	1047550
53	502320
2708	336998
123	312582
1900	269618
161	203138
1434	178502
5353	164612
500	149538
11211	147022
6881	132962
6500	113328
1027	111590
8080	110370
8000	109994
4000	109170
8081	108776
30301	108496
8082	108330
8083	107048
