src_country	count
United States	42807038
The Netherlands	36474824
China	10265018
United Kingdom	7380904
Germany	5751650
South Africa	5256082
Russia	5130100
Bulgaria	4007740
South Korea	2259690
Hong Kong	1541990
India	1318250
France	1291806
Vietnam	1024258
Singapore	862054
Philippines	687324
Brazil	626910
Japan	605596
Taiwan	584158
Poland	571682
Switzerland	526760
Canada	469280
