"ip_dst	count"
".1	1701884"
".113	910018"
".147	589642"
".110	582284"
".111	582112"
".66	580828"
".57	579838"
".24	577212"
".97	553982"
".226	550240"
".95	548532"
".99	546128"
".224	539648"
".20	538654"
".127	535406"
".46	535246"
".11	535110"
".200	532550"
".42	531462"
".242	530382"
".54	530322"
