udp_srcport	count
0	127743210
500	88788
5060	72914
4000	68544
5353	67910
1900	65416
30301	60998
8000	59952
59105	57418
8080	54348
1434	52732
49779	52370
55063	52328
41473	52312
48767	52304
42941	52298
8082	46580
1027	43750
8081	40140
6881	37628
8083	33434
