protocol	count
TCP	113235252
UDP	3743780
ICMP	2176908
SIP	620826
DNS	411822
NTP	290724
HTTP	249072
MDNS	225572
SNMP	173102
MEMCACHE	171728
ISAKMP	146524
SSDP	129290
NBNS	100882
CoAP	89480
OpenVPN	87334
Portmap	79702
CLDAP	76236
NAT-PMP	70020
SRVLOC	67388
TFTP	58376
BACnet-APDU	52172
