udp_dstport	count
0	115665334
5060	557110
53	385254
123	289492
1900	251912
1434	190736
5353	189252
161	170834
11211	160770
6881	157880
500	152500
4000	134232
8000	133916
30301	132600
8082	132576
8080	132124
8083	132072
8081	131884
1027	129344
137	100878
5683	90030
