tcp_dstport	count
23	16536312
0	9350816
22	1962394
80	1409688
20824	1223318
8080	1126024
443	983784
3389	968766
445	809160
1433	549998
8728	537796
81	471060
2222	466448
3128	436724
8088	417142
5555	389218
8443	387464
2375	365590
8081	329214
8888	287592
5432	250956
