tcp_flags	count
0x0002	111012744
	9348538
0x0004	1314034
0x0012	633216
0x0010	162694
0x00c2	147364
0x003f	77870
0x0000	51234
0x0018	36428
0x0014	26296
0x0482	11744
0x0084	1932
0x0008	960
0x0052	826
0x0f12	776
0x0092	752
0x0019	716
0x0022	698
0x0512	580
0x0712	428
0x003d	428
