"ip_dst	count"
".17	1694378"
".1	1546652"
".113	723926"
".147	518592"
".155	508466"
".9	497706"
".78	491384"
".119	490684"
".235	489378"
".46	488668"
".0	488488"
".198	488466"
".99	485790"
".236	485546"
".242	484908"
".226	483942"
".20	478720"
".171	477888"
".73	477800"
".215	477688"
".37	477524"
