src_country	count
United States	41964326
The Netherlands	15030492
China	12378768
Germany	10827518
United Kingdom	7714620
South Africa	6074430
Russia	3653526
Lithuania	2191542
Bulgaria	2076124
South Korea	2041674
India	1976010
Hong Kong	1952026
France	1426116
Türkiye	1394110
Singapore	1170414
Brazil	1000192
Vietnam	724844
Japan	651620
Taiwan	614778
Sweden	524040
Argentina	505920
