tcp_srcport	count
0	9347332
50203	5124522
42665	2249220
58914	1680712
443	1386632
1024	778330
47839	752988
42394	738216
44665	705852
51182	655690
43263	473714
53680	473416
45159	446178
40491	367988
80	288780
42699	258144
60000	236762
54402	229086
45432	222590
61000	220612
41987	166458
