ip_src	count
112.44.232.221	10170
151.236.92.3	9708
151.236.79.4	9670
151.236.127.2	9273
91.231.239.2	9127
151.236.106.4	9126
62.152.61.227	9097
89.218.82.128	9083
31.200.250.4	9016
93.92.69.34	9016
193.33.133.130	9014
5.188.152.194	9012
151.236.115.20	9001
151.236.64.24	8973
151.236.101.19	8973
185.230.245.34	8960
185.31.114.25	8944
91.231.237.5	8944
38.99.247.130	8928
151.236.89.13	8916
