src_country	count
Russia	395232
China	174288
United States	124268
Kazakhstan	87211
Belarus	24236
Singapore	23546
Ukraine	18981
United Kingdom	17352
Brazil	14468
Hong Kong	13461
Canada	12473
India	12091
Japan	11872
Germany	11570
Israel	10294
France	9106
Vietnam	8891
Moldova	8616
Taiwan	8514
Kyrgyzstan	8191
